time,id,temp,hum,PM1,PM2.5,PM10
2021-03-19 07:05:16 CET,168,0.4,72.2,4.5,7.64,10.72
2021-03-19 07:10:16 CET,169,0.4,72.0,3.82,10.8,18.38
2021-03-19 07:15:16 CET,170,0.4,72.5,2.69,2.97,2.97
2021-03-19 07:20:16 CET,171,0.5,73.6,4.71,5.19,5.19
2021-03-19 07:25:17 CET,172,0.5,73.8,1.56,2.99,4.45
2021-03-19 07:30:16 CET,173,0.5,73.0,4.04,4.45,4.45
2021-03-19 07:35:16 CET,174,0.4,71.0,4.71,5.19,5.19
2021-03-19 07:40:16 CET,175,0.6,68.3,3.93,11.56,19.87
2021-03-19 07:45:16 CET,176,0.7,69.0,3.08,5.65,8.25
2021-03-19 07:50:17 CET,177,0.8,68.7,8.47,11.63,14.27
2021-03-19 07:55:16 CET,178,0.8,70.6,10.33,16.68,22.77
2021-03-19 08:00:16 CET,179,0.9,71.1,1.56,2.99,4.45
2021-03-19 08:05:18 CET,180,1.1,71.3,9.73,16.42,22.97
2021-03-19 08:10:16 CET,181,1.1,71.3,3.34,7.45,11.79
2021-03-19 08:15:16 CET,182,1.1,71.2,4.71,5.19,5.19
2021-03-19 08:20:16 CET,183,0.8,73.0,5.57,11.12,16.85
2021-03-19 08:25:16 CET,184,0.8,73.2,6.62,18.44,31.25
2021-03-19 08:30:16 CET,185,1.1,70.7,4.04,4.45,4.45
2021-03-19 08:35:16 CET,186,1.3,69.3,4.29,6.2,7.89
2021-03-19 08:40:16 CET,187,1.2,69.9,8.4,15.06,21.74
2021-03-19 08:45:16 CET,188,1.0,70.5,8.46,15.48,22.56
2021-03-19 08:50:21 CET,189,1.1,69.3,11.08,21.85,32.93
2021-03-19 08:55:16 CET,190,1.1,69.4,3.73,6.2,8.61
2021-03-19 09:00:16 CET,191,1.2,69.3,8.58,20.26,32.69
2021-03-19 09:05:16 CET,192,1.3,68.8,3.77,6.51,9.23
2021-03-19 09:10:16 CET,193,1.4,68.0,6.06,6.68,6.68
2021-03-19 09:15:16 CET,194,1.5,68.0,5.79,12.63,19.82
2021-03-19 09:20:16 CET,195,1.5,68.8,1.17,4.2,7.54
2021-03-19 09:25:16 CET,196,1.6,68.5,5.13,8.09,10.88
2021-03-19 09:30:16 CET,197,1.4,68.8,4.04,4.45,4.45
2021-03-19 09:35:16 CET,198,1.6,67.7,5.08,11.68,18.67
2021-03-19 09:40:16 CET,199,1.7,67.9,7.69,10.14,12.06
