time,temp_pi,hum_pi,PM1_pi,PM2.5_pi,PM10_pi,temp_blue,precip,hum_blue,wind_speed,wind_direction,cloud_cover,date,temp_sbs,hum_sbs,wind,pressure,PM2.5,PM10,AQI,sunrise,noon,sunset,daylight
2021-03-25 05:00:00+01:00,5.824999999999999,67.26666666666668,5.206666666666667,8.954166666666667,12.653333333333334,2.6563133999999997,0.0,66.0,4.6938252,175.60128999999998,4.8,2021-03-25,0.0,80.0,3.9,1022.0,8.0,11.5,33.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 06:00:00+01:00,5.775000000000001,66.375,4.14,9.391666666666666,14.9475,1.4963136000000001,0.0,75.0,5.4119864,176.18593,8.400001,2021-03-25,1.0,80.0,4.1,1022.0,,13.0,12.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 07:00:00+01:00,5.75,69.925,4.134166666666666,8.385833333333332,12.790833333333332,2.5063136000000004,0.0,63.0,6.638072,167.47118999999998,5.4,2021-03-25,1.0,80.0,4.1,1022.0,11.0,16.3,45.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 08:00:00+01:00,6.858333333333332,62.21666666666666,4.6625,9.09,13.639166666666668,3.4763135999999997,0.0,54.0,5.937272,165.96376,6.3,2021-03-25,1.0,93.0,3.8,1022.0,7.0,11.3,29.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 09:00:00+01:00,7.49090909090909,58.53636363636363,3.439090909090909,7.783636363636364,12.37909090909091,5.1563134,0.0,56.0,3.96,180.0,5.4,2021-03-25,3.0,80.0,2.8,1023.0,10.0,14.9,41.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 10:00:00+01:00,10.991666666666665,49.48333333333334,3.1316666666666664,7.644999999999999,12.469166666666668,8.336313,0.0,50.0,7.491114,234.78241,7.5000005000000005,2021-03-25,3.0,80.0,2.8,1023.0,,19.6,18.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 11:00:00+01:00,16.433333333333337,39.75,4.615833333333334,8.121666666666668,11.615000000000002,10.906314,0.0,50.0,11.923557,241.11342000000002,7.2000003,2021-03-25,8.0,57.0,3.7,1023.0,12.0,17.6,50.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 12:00:00+01:00,19.541666666666668,34.30833333333334,7.076666666666665,15.366666666666665,24.076666666666668,12.816314,0.0,49.0,12.522619,251.56506000000002,4.8,2021-03-25,8.0,57.0,3.7,1023.0,13.0,20.2,53.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 13:00:00+01:00,22.21666666666667,30.375,5.381666666666667,10.486666666666666,15.729166666666666,14.196314000000001,0.0,47.0,12.371645,261.63412,5.7000003,2021-03-25,13.0,38.0,7.2,1022.0,12.0,18.6,50.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 14:00:00+01:00,23.325,28.858333333333334,4.995000000000001,10.105833333333333,15.400833333333333,15.086313,0.0,45.0,12.959999,270.0,32.0,2021-03-25,13.0,38.0,7.2,1022.0,11.0,15.5,45.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 15:00:00+01:00,23.224999999999994,29.66666666666667,4.284999999999999,8.435,12.707500000000001,15.486314000000002,0.0,45.0,11.879999,270.0,75.0,2021-03-25,16.0,33.0,3.7,1021.0,,15.4,33.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 16:00:00+01:00,19.591666666666665,34.31666666666667,4.150833333333334,9.479999999999999,15.120833333333335,15.356314000000001,0.0,46.0,12.6462,274.8991,14.0,2021-03-25,16.0,33.0,3.7,1021.0,8.0,12.2,35.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 17:00:00+01:00,18.049999999999997,38.099999999999994,5.635000000000001,11.251666666666665,17.055000000000003,15.146314000000002,0.0,46.0,13.910169,280.43747,49.0,2021-03-25,15.0,36.0,9.3,1021.0,8.0,12.3,36.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 18:00:00+01:00,16.825,39.99166666666667,5.39,10.874166666666666,16.550833333333333,14.446314000000001,0.0,48.0,14.145756,284.74356,64.0,2021-03-25,15.0,36.0,9.3,1021.0,8.0,,34.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 19:00:00+01:00,15.549999999999999,42.90833333333333,6.500000000000001,11.035833333333331,15.493333333333332,13.736314000000002,0.0,51.0,13.207633999999999,287.4472,100.0,2021-03-25,13.0,44.0,5.5,1021.0,8.0,12.9,34.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 20:00:00+01:00,14.858333333333333,44.35833333333333,6.697500000000001,10.1175,13.269166666666669,12.696314,0.0,58.0,10.365250999999999,290.32315,100.0,2021-03-25,13.0,44.0,5.5,1021.0,,,35.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 21:00:00+01:00,13.975,48.36666666666667,6.635000000000001,11.321666666666667,15.937500000000002,11.436314,0.0,65.0,8.049845,280.30487,87.0,2021-03-25,10.0,47.0,3.7,1021.0,8.0,11.9,33.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 22:00:00+01:00,12.908333333333333,55.133333333333326,6.303333333333334,11.966666666666667,17.74416666666666,10.476314,0.0,69.0,6.9899354,258.11133,3.0,2021-03-25,10.0,47.0,3.7,1021.0,7.0,11.0,29.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-25 23:00:00+01:00,11.875,59.76666666666666,6.555000000000001,8.160000000000002,9.2375,9.546313,0.0,71.0,6.792466,237.99462999999997,1.0,2021-03-25,8.0,71.0,3.7,1022.0,6.0,9.8,25.0,2021-03-25 06:18:51.096761+01:00,2021-03-25 12:31:51+01:00,2021-03-25 18:45:26.662677+01:00,0 days 12:26:35.565916
2021-03-26 00:00:00+01:00,11.083333333333334,60.41666666666666,6.511666666666666,11.775833333333333,17.069999999999997,8.686314,0.0,70.0,5.692099,214.69516000000002,0.0,2021-03-26,8.0,71.0,1.8,1023.0,6.0,10.8,25.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 01:00:00+01:00,10.51666666666667,60.39166666666667,6.68,13.268333333333333,20.064166666666665,8.096313,0.0,70.0,6.489992,213.69006000000002,1.0,2021-03-26,8.0,71.0,1.8,1023.0,6.0,10.8,25.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 02:00:00+01:00,9.749999999999998,63.349999999999994,5.835833333333333,11.015833333333333,16.286666666666665,7.7363133,0.0,70.0,6.792466,212.00538999999998,1.0,2021-03-26,5.0,81.0,3.0,1023.0,5.0,8.5,23.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 03:00:00+01:00,8.983333333333333,65.33333333333333,5.5200000000000005,9.482500000000002,13.39,7.0563135,0.0,69.0,8.766573,199.17902,25.0,2021-03-26,5.0,81.0,3.0,1023.0,5.0,8.3,21.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 04:00:00+01:00,8.4,66.96666666666667,6.5575,12.421666666666669,18.397499999999997,6.0263133,0.0,71.0,5.3517847000000005,227.72632000000002,5.0,2021-03-26,4.0,81.0,1.8,1022.0,5.0,8.0,21.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 05:00:00+01:00,8.066666666666666,67.68333333333332,7.155833333333334,13.949166666666668,20.92833333333333,4.9363136,0.0,75.0,0.8049845,243.43495,0.0,2021-03-26,4.0,81.0,1.8,1022.0,5.0,7.9,21.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 06:00:00+01:00,7.75,70.05833333333334,8.253333333333334,16.333333333333332,24.66,4.3163137,0.0,78.0,0.35999998,360.0,0.0,2021-03-26,2.0,87.0,3.7,1022.0,5.0,8.3,21.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 07:00:00+01:00,7.491666666666666,72.54166666666667,7.230833333333334,11.534166666666666,15.636666666666665,3.7763135,0.0,83.0,1.08,360.0,0.0,2021-03-26,2.0,87.0,3.7,1022.0,,8.5,8.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
2021-03-26 08:00:00+01:00,8.299999999999999,66.3,6.6375,10.999999999999998,15.243333333333332,3.5063136,0.0,87.0,2.0991426,30.963745,0.0,2021-03-26,3.0,93.0,3.2,1022.0,,13.0,18.0,2021-03-26 06:16:50.367049+01:00,2021-03-26 12:31:33+01:00,2021-03-26 18:46:51.366545+01:00,0 days 12:30:00.999496
